Orbital Parmameters

                                     Long. of
   Year     Eccentri    Obliquity    Perihel.
  (A.D.)      city      (degrees)    (degrees)
  ------    --------    ---------    --------
 -100000   0.039347      23.4263      147.147
  -98000   0.038726      23.7158      179.287
  -96000   0.038042      23.9616      211.155
  -94000   0.037300      24.1445      242.807
  -92000   0.036504      24.2528      274.309
  -90000   0.035658      24.2816      305.725
  -88000   0.034766      24.2320      337.117
  -86000   0.033830      24.1105        8.541
  -84000   0.032854      23.9278       40.044
  -82000   0.031838      23.6981       71.664
  -80000   0.030785      23.4385      103.430
  -78000   0.029695      23.1680      135.355
  -76000   0.028572      22.9066      167.435
  -74000   0.027417      22.6744      199.646
  -72000   0.026234      22.4898      231.942
  -70000   0.025025      22.3689      264.255
  -68000   0.023795      22.3238      296.491
  -66000   0.022553      22.3610      328.542
  -64000   0.021305      22.4806        0.286
  -62000   0.020063      22.6752       31.594
  -60000   0.018841      22.9305       62.341
  -58000   0.017656      23.2260       92.408
  -56000   0.016529      23.5367      121.697
  -54000   0.015484      23.8357      150.134
  -52000   0.014551      24.0963      177.687
  -50000   0.013761      24.2948      204.382
  -48000   0.013145      24.4120      230.330
  -46000   0.012728      24.4352      255.744
  -44000   0.012527      24.3591      280.939
  -42000   0.012544      24.1866      306.292
  -40000   0.012764      23.9301      332.177
  -38000   0.013158      23.6109      358.898
  -36000   0.013691      23.2586       26.647
  -34000   0.014322      22.9087       55.496
  -32000   0.015014      22.5987       85.415
  -30000   0.015732      22.3636      116.292
  -28000   0.016445      22.2303      147.963
  -26000   0.017128      22.2137      180.233
  -24000   0.017759      22.3143      212.905
  -22000   0.018321      22.5180      245.799
  -20000   0.018800      22.7986      278.768
  -18000   0.019182      23.1218      311.714
  -16000   0.019460      23.4508      344.586
  -14000   0.019626      23.7507       17.375
  -12000   0.019675      23.9924       50.110
  -10000   0.019605      24.1552       82.842
   -8000   0.019413      24.2276      115.638
   -6000   0.019101      24.2076      148.568
   -4000   0.018670      24.1018      181.701
   -2000   0.018123      23.9243      215.101
       0   0.017466      23.6954      248.820
    2000   0.016704      23.4398      282.895
