    YEAR      WO    WOse      NH    NHse      SH    SHse
  1957.5  -9.802   2.447  -8.721   2.720 -10.560   2.255
  1958.5  -7.705   2.358  -5.227   2.447  -9.443   2.296
  1959.5  -8.455   2.351  -5.982   2.333 -10.190   2.363
  1960.5  -4.492   2.154  -3.178   2.099  -5.414   2.193
  1961.5  -3.849   2.029  -4.315   2.000  -3.522   2.050
  1962.5  -3.527   1.960  -4.849   1.790  -2.599   2.080
  1963.5  -5.404   2.019  -5.941   1.853  -5.027   2.135
  1964.5  -6.529   1.900  -7.052   1.582  -6.161   2.124
  1965.5  -8.119   1.877  -8.858   1.513  -7.601   2.133
  1966.5 -10.437   1.764  -9.751   1.423 -10.919   2.003
  1967.5 -10.860   1.691 -12.257   1.288  -9.880   1.974
  1968.5 -10.656   1.535 -12.647   1.015  -9.259   1.900
  1969.5  -8.878   1.413 -12.741   0.850  -6.167   1.809
  1970.5  -7.848   1.330 -12.721   0.760  -4.429   1.730
  1971.5  -5.986   1.307 -10.697   0.797  -2.680   1.665
  1972.5  -5.224   1.363  -9.585   0.838  -2.164   1.732
  1973.5  -4.196   1.309  -7.298   0.811  -2.019   1.658
  1974.5  -2.948   1.323  -6.534   0.879  -0.431   1.635
  1975.5  -0.533   1.341  -3.137   0.911   1.295   1.643
  1976.5  -0.112   1.387  -1.487   0.881   0.853   1.743
  1977.5   0.467   1.261   0.557   0.820   0.404   1.571
  1978.5   2.243   1.195   2.130   0.712   2.322   1.534
  1979.5   2.817   1.177   4.287   0.654   1.785   1.545
  1980.5   1.534   1.154   3.508   0.644   0.149   1.512
  1981.5   0.923   1.105   3.625   0.626  -0.973   1.441
  1982.5   1.255   1.077   5.107   0.614  -1.449   1.402
  1983.5   1.073   1.111   4.934   0.601  -1.635   1.469
  1984.5   1.629   1.014   4.561   0.562  -0.429   1.332
  1985.5   2.440   0.905   5.519   0.529   0.280   1.168
  1986.5   2.871   0.922   5.632   0.528   0.933   1.198
  1987.5   3.211   0.863   5.395   0.497   1.680   1.119
  1988.5   3.328   0.880   3.995   0.542   2.860   1.117
  1989.5   3.504   0.845   4.305   0.491   2.942   1.093
  1990.5   3.567   0.805   5.317   0.448   2.339   1.055
  1991.5   5.767   0.700   5.655   0.396   5.846   0.913
  1992.5   6.615   0.658   6.614   0.421   6.616   0.825
  1993.5   6.511   0.560   7.745   0.434   5.646   0.649
  1994.5   5.651   0.560   9.669   0.469   2.832   0.624
  1995.5   6.397   0.580   9.454   0.479   4.251   0.651
  1996.5   7.255   0.659  11.640   0.569   4.178   0.722
  1997.5   7.152   0.736  11.858   0.589   3.850   0.840
  1998.5   8.676   0.870  14.327   0.684   4.712   1.001
  1999.5   8.714   0.888  14.880   0.651   4.387   1.054
  2000.5  10.735   0.843  15.892   0.553   7.116   1.047
  2001.5  12.479   0.636  17.394   0.432   9.030   0.779
  2002.5  14.236   0.464  19.469   0.367  10.565   0.532
  2003.5  15.018   0.351  21.021   0.338  10.806   0.361
  2004.5  16.704   0.309  22.368   0.332  12.731   0.292
  2005.5  16.894   0.293  23.338   0.327  12.372   0.269
  2006.5  17.162   0.280  23.878   0.319  12.449   0.253
  2007.5  17.403   0.273  23.434   0.319  13.172   0.242
  2008.5  18.830   0.282  24.410   0.311  14.915   0.262
  2009.5  19.094   0.276  23.637   0.304  15.906   0.255
  2010.5  19.895   0.266  24.489   0.289  16.672   0.251
  2011.5  21.408   0.252  25.814   0.278  18.317   0.233
  2012.5  22.318   0.239  25.790   0.278  19.882   0.211
  2013.5  24.191   0.224  26.903   0.251  22.287   0.205
  2014.5  25.374   0.220  28.927   0.242  22.881   0.205
  2015.5  26.768   0.217  30.556   0.238  24.110   0.202
