Boletín Mensual de Estadística
Industria
Producción y consumo de energía primaria
Unidades: Miles de Tep

,2015M12,2015M11,2015M10,2015M09,2015M08,2015M07,2015M06,2015M05,2015M04,2015M03,2015M02,2015M01,2014M12,2014M11,2014M10,2014M09,2014M08,2014M07,2014M06,2014M05,2014M04,2014M03,2014M02,2014M01,2013M12,2013M11,2013M10,2013M09,2013M08,2013M07,2013M06,2013M05,2013M04,2013M03,2013M02,2013M01,2012M12,2012M11,2012M10,2012M09,2012M08,2012M07,2012M06,2012M05,2012M04,2012M03,2012M02,2012M01,2011M12,2011M11,2011M10,2011M09,2011M08,2011M07,2011M06,2011M05,2011M04,2011M03,2011M02,2011M01,2010M12,2010M11,2010M10,2010M09,2010M08,2010M07,2010M06,2010M05,2010M04,2010M03,2010M02,2010M01,2009M12,2009M11,2009M10,2009M09,2009M08,2009M07,2009M06,2009M05,2009M04,2009M03,2009M02,2009M01,2008M12,2008M11,2008M10,2008M09,2008M08,2008M07,2008M06,2008M05,2008M04,2008M03,2008M02,2008M01,2007M12,2007M11,2007M10,2007M09,2007M08,2007M07,2007M06,2007M05,2007M04,2007M03,2007M02,2007M01,2006M12,2006M11,2006M10,2006M09,2006M08,2006M07,2006M06,2006M05,2006M04,2006M03,2006M02,2006M01,2005M12,2005M11,2005M10,2005M09,2005M08,2005M07,2005M06,2005M05,2005M04,2005M03,2005M02,2005M01,2004M12,2004M11,2004M10,2004M09,2004M08,2004M07,2004M06,2004M05,2004M04,2004M03,2004M02,2004M01,2003M12,2003M11,2003M10,2003M09,2003M08,2003M07,2003M06,2003M05,2003M04,2003M03,2003M02,2003M01,2002M12,2002M11,2002M10,2002M09,2002M08,2002M07,2002M06,2002M05,2002M04,2002M03,2002M02,2002M01,2001M12,2001M11,2001M10,2001M09,2001M08,2001M07,2001M06,2001M05,2001M04,2001M03,2001M02,2001M01,2000M12,2000M11,2000M10,2000M09,2000M08,2000M07,2000M06,2000M05,2000M04,2000M03,2000M02,2000M01,1999M12,1999M11,1999M10,1999M09,1999M08,1999M07,1999M06,1999M05,1999M04,1999M03,1999M02,1999M01,1998M12,1998M11,1998M10,1998M09,1998M08,1998M07,1998M06,1998M05,1998M04,1998M03,1998M02,1998M01,1997M12,1997M11,1997M10,1997M09,1997M08,1997M07,1997M06,1997M05,1997M04,1997M03,1997M02,1997M01,1996M12,1996M11,1996M10,1996M09,1996M08,1996M07,1996M06,1996M05,1996M04,1996M03,1996M02,1996M01,1995M12,1995M11,1995M10,1995M09,1995M08,1995M07,1995M06,1995M05,1995M04,1995M03,1995M02,1995M01,
Consumo interior bruto: TOTAL,10851.0,10075.0,10054.0,9984.0,10329.0,11143.0,10079.0,9537.0,9627.0,10530.0,10242.0,11417.0,10556.0,9714.0,10029.0,9942.0,9677.0,10494.0,9447.0,9599.0,9193.0,10078.0,9402.0,10259.0,10862.0,10032.0,9974.0,9866.0,10067.0,10891.0,9190.0,9389.0,9466.0,10090.0,9949.0,10671.0,10687.0,10568.0,10395.0,9797.0,10612.0,10898.0,10302.0,10129.0,10083.0,11348.0,12037.0,12054.0,11265.0,10751.0,10540.0,10762.0,10667.0,10954.0,10364.0,10117.0,10033.0,11553.0,10758.0,11506.0,11654.0,11249.0,10684.0,10495.0,10444.0,11090.0,10345.0,10137.0,10204.0,11557.0,10839.0,11434.0,11566.0,10612.0,10601.0,10833.0,10837.0,11164.0,10271.0,9905.0,10430.0,10792.0,10744.0,12003.0,12286.0,11675.0,11652.0,11267.0,11132.0,12036.0,10557.0,10941.0,11406.0,12009.0,12172.0,12907.0,12874.0,12328.0,12036.0,11317.0,11475.0,12053.0,11261.0,11443.0,11553.0,12299.0,11367.0,12944.0,12416.0,11452.0,11312.0,11299.0,11351.0,12080.0,11565.0,11253.0,10431.0,12371.0,12004.0,12988.0,12567.0,11882.0,10934.0,11138.0,10906.0,11646.0,11250.0,10795.0,10970.0,12150.0,11717.0,12582.0,12153.0,11805.0,10956.0,10978.0,10873.0,11657.0,10988.0,10797.0,10964.0,11921.0,11024.0,11627.0,11610.0,11161.0,11212.0,10536.0,10679.0,11435.0,10517.0,10473.0,10249.0,10862.0,10653.0,11199.0,10749.0,10721.0,10943.0,10198.0,10111.0,10996.0,9984.0,10488.0,10363.0,10495.0,10556.0,11564.0,11805.0,11045.0,10529.0,10044.0,9970.0,10600.0,9764.0,10182.0,9312.0,9875.0,9550.0,10408.0,10344.0,10452.0,10049.0,9946.0,9707.0,10036.0,9761.0,9712.0,9414.0,10455.0,10151.0,10620.0,10611.0,10100.0,9559.0,9354.0,9046.0,9767.0,9139.0,9070.0,8877.0,10215.0,9366.0,10024.0,10635.0,9726.0,9515.0,9060.0,8772.0,9530.0,8855.0,8433.0,8764.0,9302.0,8405.0,8919.0,9421.0,8905.0,9185.0,8849.0,8437.0,9072.0,8150.0,8586.0,8234.0,8124.0,7883.0,8489.0,8540.0,8513.0,8670.0,8088.0,7774.0,8242.0,7767.0,8231.0,7461.0,8319.0,8020.0,8018.0,8740.0,8355.0,8284.0,7986.0,7907.0,8070.0,8107.0,8252.0,7769.0,8501.0,7727.0,8443.0,
Consumo interior bruto de: carbón,1273.0,1265.0,1221.0,1229.0,1455.0,1647.0,1464.0,886.0,909.0,848.0,859.0,1369.0,1042.0,912.0,1171.0,1458.0,1322.0,1550.0,1283.0,882.0,484.0,479.0,385.0,672.0,1305.0,704.0,1119.0,1272.0,1312.0,1548.0,790.0,643.0,400.0,493.0,857.0,954.0,1061.0,1298.0,994.0,1030.0,1426.0,1470.0,1601.0,1214.0,855.0,1364.0,1582.0,1617.0,1101.0,1145.0,1269.0,1394.0,1222.0,1280.0,900.0,998.0,877.0,1032.0,791.0,701.0,612.0,531.0,630.0,855.0,853.0,711.0,545.0,432.0,396.0,427.0,536.0,628.0,818.0,708.0,842.0,142.0,139.0,949.0,727.0,577.0,529.0,570.0,716.0,838.0,1277.0,1227.0,1267.0,1137.0,1040.0,1187.0,797.0,838.0,1052.0,1219.0,1408.0,1537.0,1814.0,1636.0,1625.0,1659.0,1758.0,1792.0,1756.0,1770.0,1736.0,1499.0,1493.0,1809.0,1385.0,1144.0,1469.0,1561.0,1613.0,1921.0,1670.0,1594.0,1127.0,1438.0,1650.0,1907.0,1852.0,1821.0,1763.0,1761.0,1695.0,1808.0,1695.0,1688.0,1625.0,1779.0,1746.0,1950.0,1912.0,1742.0,1775.0,1779.0,1820.0,1858.0,1666.0,1607.0,1541.0,1830.0,1692.0,1672.0,1555.0,1687.0,1879.0,1889.0,1909.0,1913.0,1758.0,1540.0,1491.0,1602.0,1564.0,1445.0,1421.0,1789.0,1787.0,1874.0,1835.0,1848.0,1781.0,1871.0,1864.0,1979.0,1846.0,1996.0,2020.0,1898.0,1931.0,1933.0,1854.0,1901.0,1736.0,1516.0,1238.0,1125.0,1120.0,1257.0,1419.0,1868.0,1963.0,1964.0,1963.0,1915.0,1730.0,1515.0,1614.0,1890.0,1851.0,1943.0,1727.0,1602.0,1774.0,1889.0,1609.0,1856.0,1594.0,1382.0,1642.0,1800.0,1739.0,1860.0,1865.0,1737.0,1771.0,1735.0,1401.0,1638.0,1328.0,1144.0,1358.0,1614.0,1073.0,996.0,1196.0,1401.0,1792.0,1790.0,1622.0,1615.0,1463.0,1457.0,1596.0,1540.0,1088.0,1112.0,1024.0,1532.0,1582.0,1636.0,1678.0,1749.0,1456.0,898.0,930.0,1281.0,914.0,868.0,1369.0,1655.0,1607.0,1753.0,1672.0,1710.0,1530.0,1499.0,1480.0,1435.0,1304.0,1505.0,
Consumo interior bruto de: petróleo,4495.0,4197.0,4407.0,4358.0,4401.0,4680.0,4407.0,4240.0,4262.0,4407.0,4120.0,4462.0,4351.0,4155.0,4457.0,4193.0,4205.0,4509.0,4050.0,4167.0,4078.0,4283.0,3857.0,4140.0,4410.0,4428.0,4503.0,4222.0,4401.0,4776.0,4001.0,4134.0,4262.0,4248.0,3825.0,4108.0,4265.0,4371.0,4543.0,4170.0,4608.0,4670.0,4453.0,4373.0,4363.0,4740.0,4723.0,4698.0,4796.0,4765.0,4721.0,4824.0,4899.0,5088.0,4797.0,4692.0,4751.0,5217.0,4764.0,4925.0,5196.0,5123.0,5100.0,4931.0,5001.0,5312.0,5105.0,4946.0,4951.0,5547.0,4816.0,4967.0,5280.0,5040.0,5282.0,5202.0,5092.0,5556.0,5185.0,5035.0,5355.0,5532.0,5139.0,5587.0,5792.0,5476.0,5698.0,5542.0,5446.0,5884.0,5332.0,5622.0,5868.0,5823.0,5719.0,5977.0,5930.0,5975.0,6123.0,5566.0,6058.0,6161.0,5800.0,5802.0,5824.0,6207.0,5433.0,5969.0,6066.0,5927.0,5797.0,5830.0,5953.0,6000.0,5889.0,5721.0,5518.0,6284.0,5698.0,6078.0,6278.0,5955.0,5650.0,5724.0,5915.0,6216.0,5992.0,5741.0,5885.0,6428.0,5759.0,6243.0,6247.0,6067.0,5772.0,5809.0,5771.0,6131.0,5852.0,5756.0,5885.0,6200.0,5548.0,6018.0,6094.0,5829.0,6039.0,5652.0,5703.0,6040.0,5601.0,5697.0,5642.0,5775.0,5408.0,5833.0,5606.0,5535.0,5910.0,5387.0,5490.0,5938.0,5199.0,5620.0,5623.0,5568.0,5710.0,6060.0,6301.0,5918.0,5787.0,5480.0,5434.0,5697.0,5185.0,5527.0,5181.0,5506.0,5188.0,5516.0,5530.0,5435.0,5402.0,5456.0,5287.0,5422.0,5268.0,5350.0,5174.0,5596.0,5349.0,5396.0,5669.0,5318.0,5136.0,4999.0,4989.0,5404.0,5046.0,5052.0,5010.0,5903.0,5171.0,5345.0,6016.0,5395.0,5416.0,4990.0,4984.0,5301.0,4998.0,4782.0,4992.0,5189.0,4629.0,4979.0,5416.0,4995.0,5172.0,4893.0,4727.0,5103.0,4428.0,4769.0,4479.0,4480.0,4410.0,4524.0,4786.0,4685.0,4888.0,4583.0,4488.0,4664.0,4446.0,4943.0,4317.0,4663.0,4573.0,4399.0,4953.0,4683.0,4794.0,4520.0,4575.0,4516.0,4590.0,4675.0,4391.0,4835.0,4275.0,4497.0,
Consumo interior bruto de: gas natural,2426.0,2139.0,2007.0,1790.0,1707.0,1964.0,1694.0,1749.0,1822.0,2211.0,2408.0,2673.0,2411.0,2084.0,1871.0,1883.0,1663.0,1759.0,1735.0,1755.0,1669.0,2093.0,2219.0,2520.0,2749.0,2363.0,2000.0,1934.0,1691.0,1846.0,1784.0,2019.0,2018.0,2383.0,2495.0,2796.0,2681.0,2500.0,2302.0,2010.0,1885.0,2054.0,1990.0,2010.0,2185.0,2477.0,3055.0,3036.0,2735.0,2435.0,2261.0,2198.0,2042.0,2192.0,2268.0,2244.0,2003.0,2725.0,2758.0,3126.0,3087.0,2935.0,2487.0,2422.0,2119.0,2496.0,2308.0,2288.0,2324.0,2730.0,2860.0,3126.0,3051.0,2659.0,2509.0,2513.0,2414.0,2692.0,2521.0,2280.0,2403.0,2527.0,2585.0,3065.0,2919.0,3001.0,2770.0,2661.0,2531.0,2871.0,2667.0,2696.0,2829.0,3019.0,3316.0,3503.0,3345.0,3240.0,2591.0,2402.0,2092.0,2553.0,2385.0,2368.0,2345.0,2535.0,2544.0,3202.0,2786.0,2452.0,2340.0,2420.0,1975.0,2532.0,2340.0,2316.0,2283.0,2714.0,2985.0,3155.0,2829.0,2629.0,2210.0,2218.0,1974.0,2427.0,2384.0,2194.0,2266.0,2569.0,2719.0,2702.0,2410.0,2410.0,2062.0,1959.0,1652.0,1977.0,1853.0,1852.0,1937.0,2290.0,2122.0,2148.0,2017.0,1916.0,1874.0,1702.0,1473.0,1813.0,1696.0,1597.0,1505.0,1789.0,1950.0,1922.0,1796.0,1705.0,1633.0,1551.0,1202.0,1536.0,1428.0,1490.0,1495.0,1565.0,1529.0,1832.0,1806.0,1608.0,1350.0,1191.0,1037.0,1302.0,1183.0,1294.0,1227.0,1395.0,1434.0,1580.0,1442.0,1497.0,1292.0,1235.0,920.0,1055.0,1108.0,1141.0,1152.0,1446.0,1379.0,1556.0,1459.0,1441.0,1062.0,1027.0,852.0,1009.0,997.0,990.0,1010.0,1202.0,1231.0,1256.0,1298.0,1225.0,980.0,941.0,737.0,899.0,869.0,857.0,924.0,1012.0,999.0,1076.0,1149.0,1047.0,980.0,895.0,705.0,918.0,826.0,833.0,882.0,889.0,893.0,1039.0,919.0,857.0,734.0,649.0,443.0,598.0,555.0,647.0,657.0,740.0,784.0,818.0,770.0,713.0,619.0,560.0,406.0,542.0,574.0,597.0,574.0,708.0,682.0,759.0,
Consumo(=Producción) interior: hidráulica,118.0,161.0,139.0,139.0,142.0,178.0,219.0,252.0,218.0,325.0,293.0,212.0,287.0,210.0,141.0,158.0,178.0,206.0,214.0,243.0,428.0,457.0,493.0,355.0,203.0,243.0,162.0,158.0,186.0,236.0,273.0,325.0,446.0,376.0,304.0,251.0,227.0,172.0,122.0,86.0,116.0,145.0,181.0,218.0,143.0,111.0,103.0,143.0,190.0,187.0,109.0,108.0,133.0,143.0,180.0,243.0,307.0,332.0,258.0,443.0,336.0,219.0,129.0,134.0,173.0,258.0,315.0,340.0,404.0,498.0,364.0,466.0,277.0,176.0,107.0,85.0,123.0,153.0,182.0,224.0,193.0,243.0,303.0,200.0,219.0,140.0,96.0,114.0,132.0,192.0,276.0,296.0,239.0,95.0,84.0,120.0,107.0,116.0,146.0,119.0,154.0,211.0,200.0,246.0,248.0,338.0,261.0,196.0,423.0,257.0,143.0,97.0,89.0,131.0,128.0,184.0,238.0,260.0,108.0,141.0,153.0,123.0,82.0,80.0,102.0,128.0,170.0,206.0,189.0,166.0,137.0,145.0,165.0,209.0,158.0,137.0,158.0,188.0,243.0,296.0,267.0,279.0,294.0,333.0,436.0,290.0,179.0,148.0,135.0,176.0,212.0,324.0,343.0,404.0,385.0,500.0,388.0,189.0,119.0,101.0,105.0,134.0,185.0,185.0,171.0,172.0,113.0,126.0,148.0,178.0,155.0,134.0,171.0,182.0,225.0,297.0,385.0,583.0,507.0,564.0,422.0,230.0,152.0,163.0,152.0,160.0,214.0,319.0,213.0,137.0,146.0,227.0,259.0,253.0,167.0,138.0,132.0,177.0,222.0,261.0,196.0,181.0,127.0,135.0,125.0,135.0,178.0,164.0,181.0,229.0,302.0,361.0,310.0,242.0,357.0,519.0,476.0,306.0,131.0,144.0,154.0,183.0,208.0,207.0,209.0,233.0,314.0,492.0,373.0,198.0,159.0,157.0,140.0,201.0,257.0,341.0,331.0,318.0,486.0,528.0,222.0,108.0,83.0,81.0,92.0,141.0,153.0,157.0,168.0,281.0,240.0,254.0,
Consumo(=Producción) interior: nuclear,1320.0,1082.0,1118.0,1332.0,1360.0,1315.0,1031.0,967.0,1277.0,1414.0,1282.0,1427.0,1277.0,1188.0,1398.0,1312.0,1153.0,1164.0,934.0,1180.0,1375.0,1435.0,1282.0,1235.0,1085.0,1109.0,1188.0,1294.0,1372.0,1393.0,1177.0,1086.0,1212.0,1415.0,1203.0,1250.0,1190.0,1110.0,1474.0,1449.0,1493.0,1398.0,958.0,1223.0,1418.0,1493.0,1404.0,1410.0,1323.0,1241.0,1231.0,1363.0,1442.0,1320.0,1285.0,989.0,1216.0,1183.0,1165.0,1287.0,1280.0,1384.0,1451.0,1394.0,1490.0,1484.0,1287.0,1209.0,1339.0,1339.0,1269.0,1229.0,1084.0,1084.0,1077.0,1192.0,1435.0,1090.0,963.0,1005.0,1103.0,1066.0,1175.0,1476.0,1344.0,1099.0,1173.0,1219.0,1366.0,1240.0,1249.0,1277.0,1096.0,1459.0,1396.0,1451.0,1383.0,1073.0,1336.0,1333.0,1089.0,1055.0,861.0,951.0,1184.0,1346.0,1299.0,1451.0,1465.0,1385.0,1266.0,1179.0,1413.0,1309.0,1323.0,1174.0,968.0,1382.0,1330.0,1475.0,1492.0,1413.0,1286.0,1398.0,1235.0,1066.0,1035.0,990.0,1031.0,1203.0,1330.0,1517.0,1404.0,1380.0,1218.0,1282.0,1471.0,1501.0,1401.0,1313.0,1388.0,1342.0,1393.0,1483.0,1497.0,1442.0,1236.0,1131.0,1448.0,1473.0,1214.0,1303.0,1272.0,1271.0,1342.0,1497.0,1516.0,1461.0,1469.0,1248.0,1458.0,1490.0,1376.0,1298.0,1150.0,1150.0,1303.0,1504.0,1490.0,1408.0,1294.0,1282.0,1449.0,1481.0,1392.0,1499.0,1242.0,1273.0,1299.0,1494.0,1508.0,1378.0,1203.0,1100.0,1366.0,1462.0,1426.0,1329.0,1216.0,1349.0,1391.0,1482.0,1460.0,1432.0,1382.0,1283.0,1422.0,1277.0,1231.0,1331.0,957.0,1088.0,1067.0,1406.0,1311.0,1210.0,1153.0,1233.0,1441.0,1439.0,1337.0,1258.0,1146.0,1210.0,1318.0,1319.0,1196.0,1148.0,1107.0,1136.0,1267.0,1288.0,1249.0,1358.0,1103.0,1001.0,1196.0,1363.0,1441.0,1242.0,1317.0,1058.0,1001.0,1000.0,1027.0,1387.0,1206.0,1309.0,1284.0,1408.0,1405.0,1164.0,1143.0,1039.0,1129.0,1125.0,1228.0,1292.0,1125.0,1209.0,1194.0,1395.0,
Consumo(=Producción) interior: eólica y solar,406.0,504.0,511.0,563.0,657.0,775.0,681.0,835.0,607.0,694.0,670.0,573.0,528.0,536.0,498.0,440.0,726.0,786.0,695.0,791.0,627.0,697.0,617.0,658.0,529.0,680.0,526.0,549.0,663.0,663.0,693.0,634.0,576.0,601.0,592.0,628.0,576.0,508.0,469.0,587.0,592.0,611.0,585.0,575.0,621.0,523.0,603.0,429.0,461.0,393.0,392.0,350.0,395.0,464.0,416.0,401.0,409.0,496.0,434.0,403.0,453.0,434.0,433.0,314.0,389.0,393.0,338.0,421.0,317.0,470.0,452.0,421.0,468.0,469.0,319.0,265.0,273.0,296.0,276.0,312.0,334.0,329.0,325.0,338.0,350.0,341.0,258.0,229.0,220.0,228.0,203.0,166.0,307.0,369.0,184.0,237.0,215.0,245.0,173.0,184.0,219.0,172.0,160.0,232.0,122.0,272.0,253.0,189.0,193.0,201.0,206.0,131.0,195.0,109.0,122.0,149.0,173.0,241.0,170.0,138.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
Consumo interior: biomasa y residuos,711.0,664.0,589.0,564.0,606.0,577.0,562.0,571.0,540.0,645.0,640.0,702.0,672.0,594.0,500.0,509.0,433.0,546.0,543.0,589.0,569.0,635.0,576.0,661.0,608.0,573.0,524.0,495.0,475.0,507.0,493.0,546.0,577.0,595.0,714.0,704.0,764.0,663.0,604.0,542.0,535.0,588.0,572.0,585.0,588.0,697.0,672.0,747.0,700.0,635.0,590.0,573.0,551.0,508.0,552.0,570.0,564.0,633.0,619.0,673.0,713.0,674.0,565.0,527.0,484.0,524.0,518.0,548.0,535.0,595.0,585.0,624.0,627.0,553.0,547.0,496.0,432.0,509.0,483.0,511.0,560.0,543.0,543.0,577.0,465.0,473.0,486.0,447.0,467.0,513.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
Notas:

