Entity,Code,Year,Solar (terrawatt-hours),Other renewables (terrawatt-hours),Nuclear (terrawatt-hours),Hydropower (terrawatt-hours),Natural gas (terrawatt-hours),Crude oil (terrawatt-hours),Coal (terrawatt-hours),Traditional biofuels (terrawatt-hours),Wind (terrawatt-hours)
World,OWID_WRL,1800,,,,,,,97.2223,5555.555556,
World,OWID_WRL,1810,,,,,,,127.77788,5833.333333,
World,OWID_WRL,1820,,,,,,,152.7779,6111.111111,
World,OWID_WRL,1830,,,,,,,263.8891,6388.888889,
World,OWID_WRL,1840,,,,,,,355.55584,6944.444444,
World,OWID_WRL,1850,,,,,,,569.4449,7222.222222,
World,OWID_WRL,1860,,,,,,,1061.11196,6944.444444,
World,OWID_WRL,1870,,,,,,5.55556,1641.66798,6944.444444,
World,OWID_WRL,1880,,,,,,33.33336,2541.6687,6944.444444,
World,OWID_WRL,1890,,,,13.88888889,33.33336,88.88896,3855.55864,6666.666667,
World,OWID_WRL,1900,,,,16.66666667,63.88894,180.5557,5727.78236,6111.111111,
World,OWID_WRL,1910,,,,33.33333333,141.66678,397.22254,8655.56248,6388.888889,
World,OWID_WRL,1920,,,,63.88888889,233.33352,888.8896,9833.3412,6944.444444,
World,OWID_WRL,1930,,,,130.5555556,602.77826,1755.55696,10125.0081,7222.222222,
World,OWID_WRL,1940,,,,191.6666667,875.0007,2652.7799,11586.12038,7222.222222,
World,OWID_WRL,1950,,,,333.3333333,2091.66834,5444.4488,12602.78786,7500,
World,OWID_WRL,1960,,,,688.8888889,4472.2258,11097.2311,15441.67902,8888.888889,
World,OWID_WRL,1965,0,5.02,25.78689584,919.8988263,6823.934577,17740.36827,16322.44092,9162.456946,0
World,OWID_WRL,1966,0,6.165,34.57627093,986.4152611,7426.217421,19104.36441,16512.65763,9218.172711,0
World,OWID_WRL,1967,0,6.425,42.4078552,1009.370636,7961.256227,20468.91567,16247.40207,9274.227277,0
World,OWID_WRL,1968,0,7.244,52.52310447,1059.204185,8668.151001,22225.38535,16493.29564,9330.622704,0
World,OWID_WRL,1969,0,7.914904,63.43876256,1122.612948,9510.132872,24130.44943,17008.4716,9387.361065,0
World,OWID_WRL,1970,0,10.35613531,78.40661173,1174.775447,10350.9762,26202.09329,17244.48525,9444.444444,0
World,OWID_WRL,1971,0,12.18024465,110.0047304,1221.98273,11048.31053,27745.80155,17139.94314,9498.581964,0
World,OWID_WRL,1972,0,13.10252289,150.8970728,1277.197396,11634.66841,29867.50948,17338.40421,9553.029811,0
World,OWID_WRL,1973,0,14.48744749,202.6554947,1293.146251,12153.54337,32206.67633,17862.41092,9607.789765,0
World,OWID_WRL,1974,0,16.40558121,263.3878734,1419.379721,12408.64757,31737.45207,17872.71335,9662.863614,0
World,OWID_WRL,1975,0,18.39332237,364.3608367,1440.836903,12377.59393,31379.57182,18217.78258,9718.253158,0
World,OWID_WRL,1976,0,20.01929042,433.3928498,1435.681335,13084.99176,33436.49447,18888.19275,9773.960206,0
World,OWID_WRL,1977,0,21.35914996,535.421645,1472.996263,13487.86548,34563.85832,19444.22377,9829.986579,0
World,OWID_WRL,1978,0,21.8324752,619.3130172,1589.140502,14034.26272,35545.19876,19659.08926,9886.334106,0.003
